Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,182.070007,183.179993,168.809998,175.690002,175.690002,638800,MHK,Mohawk Industries Inc,가정용품,,,
2021-03-05,178.649994,186.809998,176.460007,186.110001,186.110001,569900,MHK,Mohawk Industries Inc,가정용품,,,
2021-03-08,186.520004,192.570007,185.809998,187.270004,187.270004,572700,MHK,Mohawk Industries Inc,가정용품,,,
2021-03-09,186.589996,189.130005,180.779999,183.639999,183.639999,493400,MHK,Mohawk Industries Inc,가정용품,,,
2021-03-10,184.009995,188.130005,182.910004,184.990005,184.990005,546400,MHK,Mohawk Industries Inc,가정용품,,,
2021-03-11,185.020004,186.830002,181.929993,185.779999,185.779999,395800,MHK,Mohawk Industries Inc,가정용품,,,
2021-03-12,186.25,189.589996,184.029999,189.039993,189.039993,335400,MHK,Mohawk Industries Inc,가정용품,,,
2021-03-15,189.039993,189.039993,185.050003,188.320007,188.320007,429000,MHK,Mohawk Industries Inc,가정용품,,,
2021-03-16,187.229996,189.309998,181.179993,182.860001,182.860001,536300,MHK,Mohawk Industries Inc,가정용품,,,
2021-03-17,182.779999,186.020004,181.5,185.940002,185.940002,627100,MHK,Mohawk Industries Inc,가정용품,,,
2021-03-18,186.130005,186.550003,182.820007,183.350006,183.350006,855000,MHK,Mohawk Industries Inc,가정용품,,,
2021-03-19,182.479996,185.389999,178.75,183.740005,183.740005,1329700,MHK,Mohawk Industries Inc,가정용품,,,
2021-03-22,184.490005,185.240005,180.119995,183.149994,183.149994,495600,MHK,Mohawk Industries Inc,가정용품,,,
2021-03-23,181.440002,186.589996,180.089996,181.279999,181.279999,777900,MHK,Mohawk Industries Inc,가정용품,,,
2021-03-24,183.710007,188.050003,183.710007,185.399994,185.399994,785400,MHK,Mohawk Industries Inc,가정용품,,,
2021-03-25,183.699997,192.529999,183.160004,192.300003,192.300003,613400,MHK,Mohawk Industries Inc,가정용품,,,
2021-03-26,194.440002,196.380005,192.490005,195.669998,195.669998,569800,MHK,Mohawk Industries Inc,가정용품,,,
2021-03-29,195.240005,196.0,190.070007,191.270004,191.270004,452600,MHK,Mohawk Industries Inc,가정용품,,,
2021-03-30,190.570007,195.759995,190.070007,195.029999,195.029999,307300,MHK,Mohawk Industries Inc,가정용품,,,
2021-03-31,194.630005,197.360001,192.169998,192.309998,192.309998,447400,MHK,Mohawk Industries Inc,가정용품,1.593238610622083,,
2021-04-01,194.570007,199.0,192.570007,198.279999,198.279999,501700,MHK,Mohawk Industries Inc,가정용품,3.229968133499095,,
2021-04-05,200.130005,201.509995,197.759995,201.190002,201.190002,438900,MHK,Mohawk Industries Inc,가정용품,3.1575886240651663,,
2021-04-06,200.770004,202.940002,198.350006,200.679993,200.679993,607200,MHK,Mohawk Industries Inc,가정용품,2.9691018051263285,,
2021-04-07,199.0,201.0,197.059998,197.740005,197.740005,399600,MHK,Mohawk Industries Inc,가정용품,1.1968306509349658,,
2021-04-08,196.820007,198.649994,194.130005,198.449997,198.449997,476200,MHK,Mohawk Industries Inc,가정용품,1.0291202539868927,,
2021-04-09,199.360001,202.970001,197.339996,202.929993,202.929993,472000,MHK,Mohawk Industries Inc,가정용품,2.3061171992444063,,
2021-04-12,205.0,206.199997,201.289993,204.110001,204.110001,429800,MHK,Mohawk Industries Inc,가정용품,2.7600950943609703,,
2021-04-13,203.070007,203.839996,198.419998,202.589996,202.589996,556500,MHK,Mohawk Industries Inc,가정용품,1.5051312415565787,,
2021-04-14,201.899994,205.020004,201.509995,201.740005,201.740005,387100,MHK,Mohawk Industries Inc,가정용품,1.2037464188710878,,
2021-04-15,203.070007,203.289993,200.270004,201.669998,201.669998,360600,MHK,Mohawk Industries Inc,가정용품,-0.1036526765812451,,
2021-04-16,203.089996,205.009995,202.080002,204.809998,204.809998,321900,MHK,Mohawk Industries Inc,가정용품,0.8674733293563497,,
2021-04-19,204.130005,204.130005,199.600006,199.910004,199.910004,467100,MHK,Mohawk Industries Inc,가정용품,-1.1287760231790012,,
2021-04-20,199.990005,200.779999,194.240005,196.050003,196.050003,487400,MHK,Mohawk Industries Inc,가정용품,-2.4676724103917635,,
2021-04-21,196.509995,201.199997,195.050003,201.110001,201.110001,291900,MHK,Mohawk Industries Inc,가정용품,-1.0592322197313542,,
2021-04-22,200.919998,202.729996,197.479996,199.169998,199.169998,447200,MHK,Mohawk Industries Inc,가정용품,-1.1530750933540612,,
2021-04-23,200.690002,203.710007,199.410004,203.339996,203.339996,647300,MHK,Mohawk Industries Inc,가정용품,-0.11877294856524889,,
2021-04-26,204.169998,207.460007,203.270004,206.710007,206.710007,421600,MHK,Mohawk Industries Inc,가정용품,1.3422805695008533,,
2021-04-27,206.029999,209.800003,205.580002,208.360001,208.360001,391300,MHK,Mohawk Industries Inc,가정용품,2.0054993195453896,,
2021-04-28,208.0,209.410004,206.399994,207.699997,207.699997,489900,MHK,Mohawk Industries Inc,가정용품,1.7284862168900572,,
2021-04-29,209.330002,213.610001,208.0,212.979996,212.979996,500500,MHK,Mohawk Industries Inc,가정용품,3.3844489610749706,,
2021-04-30,208.360001,214.490005,203.669998,205.5,205.5,737700,MHK,Mohawk Industries Inc,가정용품,0.4945027115128786,,
2021-05-03,212.210007,227.449997,211.320007,221.0,221.0,1992400,MHK,Mohawk Industries Inc,가정용품,7.4076364307041676,,
2021-05-04,221.0,221.529999,214.399994,219.839996,219.839996,752700,MHK,Mohawk Industries Inc,가정용품,7.177007125983681,,
2021-05-05,221.820007,225.779999,218.559998,224.300003,224.300003,475800,MHK,Mohawk Industries Inc,가정용품,8.683786130548455,,
2021-05-06,225.350006,226.080002,220.970001,224.880005,224.880005,288900,MHK,Mohawk Industries Inc,가정용품,7.530045614329661,,
2021-05-07,223.119995,230.75,221.169998,229.740005,229.740005,390200,MHK,Mohawk Industries Inc,가정용품,8.490917366870331,,
2021-05-10,230.529999,231.800003,226.039993,226.479996,226.479996,445700,MHK,Mohawk Industries Inc,가정용품,7.581791006265992,,
2021-05-11,222.440002,223.419998,215.110001,219.470001,219.470001,470400,MHK,Mohawk Industries Inc,가정용품,4.753367567515454,,
2021-05-12,219.070007,219.259995,208.649994,209.490005,209.490005,405900,MHK,Mohawk Industries Inc,가정용품,1.9140986963818163,,
2021-05-13,209.830002,220.690002,209.550003,218.970001,218.970001,510200,MHK,Mohawk Industries Inc,가정용품,4.738879283807096,,
