Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2018-03-19,HURN,Huron Consulting Group Inc,전문 및 상업 서비스,36.200001,36.950001,35.900002,36.799999,36.799999,70800.0,,,,,,,,,,,,,False
2018-03-20,HURN,Huron Consulting Group Inc,전문 및 상업 서비스,36.849998,37.75,36.549999,37.299999,37.299999,65200.0,,,,,,,,,,,,,False
2018-03-21,HURN,Huron Consulting Group Inc,전문 및 상업 서비스,37.200001,37.799999,37.049999,37.549999,37.549999,63500.0,,,,,,,,,,,,,False
2018-03-22,HURN,Huron Consulting Group Inc,전문 및 상업 서비스,37.299999,37.700001,36.849998,37.0,37.0,75300.0,,,,,,,,,,,,,False
2018-03-23,HURN,Huron Consulting Group Inc,전문 및 상업 서비스,36.950001,36.950001,36.150002,36.200001,36.200001,69600.0,,,,,,,,,,,,,False
2018-03-26,HURN,Huron Consulting Group Inc,전문 및 상업 서비스,36.650002,37.049999,36.049999,36.900002,36.900002,135900.0,,,,,,,,,,,,,False
2018-03-27,HURN,Huron Consulting Group Inc,전문 및 상업 서비스,37.0,37.25,36.450001,36.599998,36.599998,121000.0,,,,,,,,,,,,,False
2018-03-28,HURN,Huron Consulting Group Inc,전문 및 상업 서비스,36.700001,37.599998,36.650002,37.049999,37.049999,137700.0,,,,,,,,,,,,,False
2018-03-29,HURN,Huron Consulting Group Inc,전문 및 상업 서비스,37.150002,38.349998,37.049999,38.099998,38.099998,100800.0,,,,,,,,,,,,,False
2018-04-02,HURN,Huron Consulting Group Inc,전문 및 상업 서비스,37.900002,38.150002,36.650002,37.799999,37.799999,121700.0,,,,,,,,,,,,,False
2018-04-03,HURN,Huron Consulting Group Inc,전문 및 상업 서비스,37.950001,38.450001,37.599998,38.349998,38.349998,70500.0,,,,,,,,,,,,,False
2018-04-04,HURN,Huron Consulting Group Inc,전문 및 상업 서비스,38.0,38.650002,37.75,38.599998,38.599998,74500.0,,,,,,,,,,,,,False
2018-04-05,HURN,Huron Consulting Group Inc,전문 및 상업 서비스,38.950001,39.799999,38.400002,38.650002,38.650002,98500.0,,,,,,,,,,,,,False
2018-04-06,HURN,Huron Consulting Group Inc,전문 및 상업 서비스,38.5,38.950001,38.099998,38.400002,38.400002,52700.0,,,,,,,,,,,,,False
2018-04-09,HURN,Huron Consulting Group Inc,전문 및 상업 서비스,38.599998,38.799999,38.099998,38.25,38.25,78600.0,,,,,,,0.9964290000000001,-0.15053957682885646,,-0.3043302669333395,,,False
2018-04-10,HURN,Huron Consulting Group Inc,전문 및 상업 서비스,38.599998,39.830002,38.450001,39.099998,39.099998,117100.0,,,,,,,1.0235719285714286,0.830423320798098,,0.09242248349898907,,,False
2018-04-11,HURN,Huron Consulting Group Inc,전문 및 상업 서비스,38.950001,39.779999,38.599998,39.049999,39.049999,67900.0,,,,,,,1.0542862857142856,-0.04742450004092109,,0.2025967397094688,,,False
2018-04-12,HURN,Huron Consulting Group Inc,전문 및 상업 서비스,39.25,39.349998,38.700001,38.900002,38.900002,115000.0,,,,,,,1.0400001428571426,-0.14422786480386385,,-0.5334101075791685,,,False
2018-04-13,HURN,Huron Consulting Group Inc,전문 및 상업 서비스,39.200001,40.200001,38.599998,38.900002,38.900002,88700.0,,,,,,,1.0935719285714285,0.0,,0.14399865498927852,,,False
2018-04-16,HURN,Huron Consulting Group Inc,전문 및 상업 서비스,39.099998,39.5,38.900002,39.25,39.25,48200.0,2.191597527989919,,,,,,1.065000357142857,0.32863650951156564,,-0.09927283812254478,,,False
