Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS,50MA
2018-03-12,15.0,15.25,14.65,15.25,13.50797,4600,CBAN,Colony Bankcorp Inc,은행,,,,,,,,,
2018-03-13,15.05,15.3,15.05,15.29,13.543402,1500,CBAN,Colony Bankcorp Inc,은행,,,,,,,,,
2018-03-14,15.45,15.45,15.45,15.45,13.685123,400,CBAN,Colony Bankcorp Inc,은행,,,,,,,,,
2018-03-15,15.64,15.65,15.55,15.65,13.862279,2900,CBAN,Colony Bankcorp Inc,은행,,,,,,,,,
2018-03-16,15.7,16.950001,15.7,16.700001,14.792338,5700,CBAN,Colony Bankcorp Inc,은행,,,,,,,,,
2018-03-19,15.7,16.549999,15.55,16.5,14.615182,2400,CBAN,Colony Bankcorp Inc,은행,,,,,,,,,
2018-03-20,17.4,17.4,15.71,16.9,14.969489,3600,CBAN,Colony Bankcorp Inc,은행,,,,,,,,,
2018-03-21,15.31,16.1,15.01,15.8,13.995145,3400,CBAN,Colony Bankcorp Inc,은행,,,,,,,,,
2018-03-22,16.25,16.700001,15.0,16.700001,14.792338,3500,CBAN,Colony Bankcorp Inc,은행,,,,,,,,,
2018-03-23,16.700001,16.700001,16.65,16.700001,14.792338,1100,CBAN,Colony Bankcorp Inc,은행,,,,,,,,,
2018-03-26,16.0,19.5,16.0,19.5,17.272488,2700,CBAN,Colony Bankcorp Inc,은행,,,,,,,,,
2018-03-27,18.0,18.950001,17.190001,17.299999,15.323796,8400,CBAN,Colony Bankcorp Inc,은행,,,,,,,,,
2018-03-28,17.1,17.700001,16.049999,17.049999,15.102355,10600,CBAN,Colony Bankcorp Inc,은행,,,,,,,,,
2018-03-29,17.1,17.25,16.200001,17.0,15.058064,4400,CBAN,Colony Bankcorp Inc,은행,,,,,,,,,
2018-04-02,16.0,16.6,15.4,16.0,14.172298,4100,CBAN,Colony Bankcorp Inc,은행,,,,1.3214288571428572,-0.7567565931337096,,0.4443596100552082,,
2018-04-03,15.85,16.0,15.25,15.35,13.596549,2900,CBAN,Colony Bankcorp Inc,은행,,,,1.357143142857143,-0.47894726759004913,,-1.1417008735112577,,
2018-04-04,15.41,16.35,15.01,16.35,14.482318,5900,CBAN,Colony Bankcorp Inc,은행,,,,1.4414288571428575,0.6937560567381464,,0.1150236380855788,,
2018-04-05,16.35,16.35,16.35,16.35,14.482318,0,CBAN,Colony Bankcorp Inc,은행,,,,1.4271431428571428,0.0,,-0.34461075905486704,,
2018-04-06,16.35,16.35,16.35,16.35,14.482318,500,CBAN,Colony Bankcorp Inc,은행,,,,1.3342859285714286,0.0,,1.0222313686381763,,
2018-04-09,15.3,16.200001,15.3,15.8,13.995145,1100,CBAN,Colony Bankcorp Inc,은행,-1.640878346236807,,,1.327143,-0.414424067338637,,-0.56821475744312,,
2018-04-10,15.95,16.299999,15.63,16.049999,14.216588,7900,CBAN,Colony Bankcorp Inc,은행,-2.17496197192375,,,1.254285785714286,0.19931582008451965,,-0.5386850172145893,,
2018-04-11,15.95,16.0,15.95,16.0,14.172298,2100,CBAN,Colony Bankcorp Inc,은행,-2.354034757057877,,,1.1264285714285718,-0.04438719086873782,,0.20563404888165204,,
2018-04-12,16.1,16.1,15.4,15.65,13.862279,4800,CBAN,Colony Bankcorp Inc,은행,-5.466281857439437,,,1.0549999285714289,-0.33175357696368113,,-0.7209358197389858,,
