Date,up,down,sum,ma150_changes
2021-07-08,1008,2066,-1058,
2021-07-09,2463,647,1816,
2021-07-12,1604,1533,71,
2021-07-13,698,2436,-1738,
2021-07-14,852,2279,-1427,
2021-07-15,1219,1885,-666,
2021-07-16,919,2216,-1297,
2021-07-19,901,2238,-1337,
2021-07-20,2536,621,1915,
2021-07-21,2503,669,1834,
2021-07-22,940,2215,-1275,
2021-07-23,1554,1575,-21,
2021-07-26,1392,1754,-362,
2021-07-27,853,2306,-1453,
2021-07-28,2358,799,1559,
2021-07-29,1709,1425,284,
2021-07-30,1197,1957,-760,
2021-08-02,1671,1501,170,
2021-08-03,1485,1685,-200,
2021-08-04,1079,2083,-1004,
2021-08-05,2317,850,1467,
2021-08-06,1709,1461,248,
2021-08-09,1521,1628,-107,
2021-08-10,1439,1700,-261,
2021-08-11,1636,1507,129,
2021-08-12,1315,1839,-524,
2021-08-13,1057,2144,-1087,
2021-08-16,949,2234,-1285,
2021-08-17,994,2230,-1236,
2021-08-18,1303,1871,-568,
2021-08-19,899,2297,-1398,
2021-08-20,2369,834,1535,
2021-08-23,2494,737,1757,
2021-08-24,2119,1085,1034,
2021-08-25,1811,1350,461,
2021-08-26,1102,2080,-978,
2021-08-27,2517,671,1846,
2021-08-30,1427,1779,-352,
2021-08-31,1999,1198,801,
2021-09-01,1872,1327,545,
2021-09-02,1979,1191,788,
2021-09-03,1252,1919,-667,
2021-09-07,1212,2005,-793,
2021-09-08,921,2277,-1356,
2021-09-09,1640,1522,118,
2021-09-10,1071,2096,-1025,
2021-09-13,1561,1635,-74,
2021-09-14,864,2393,-1529,
2021-09-15,2026,1208,818,
2021-09-16,1663,1543,120,
2021-09-17,1711,1527,184,
2021-09-20,472,2803,-2331,
2021-09-21,1807,1405,402,
2021-09-22,2268,941,1327,
2021-09-23,2391,820,1571,
2021-09-24,1336,1848,-512,
2021-09-27,2084,1165,919,
2021-09-28,516,2725,-2209,
2021-09-29,1317,1920,-603,
2021-09-30,1572,1684,-112,
2021-10-01,2009,1226,783,
2021-10-04,822,2493,-1671,
2021-10-05,1917,1310,607,
2021-10-06,1266,1973,-707,-79.36
2021-10-07,2392,890,1502,-69.34666666666666
2021-10-08,1258,1951,-693,-74.28
2021-10-11,1239,1953,-714,-88.52666666666667
2021-10-12,1948,1278,670,-89.32
2021-10-13,1869,1366,503,-97.39333333333333
2021-10-14,2090,1144,946,-92.69333333333333
2021-10-15,1325,1903,-578,-99.18
2021-10-18,1419,1832,-413,-93.36666666666666
2021-10-19,2070,1160,910,-91.22666666666667
2021-10-20,1863,1347,516,-76.76666666666667
2021-10-21,1650,1632,18,-82.06
2021-10-22,1264,2020,-756,-84.31333333333333
2021-10-25,2046,1273,773,-63.96666666666667
2021-10-26,1381,1954,-573,-57.13333333333333
2021-10-27,913,2407,-1494,-73.96666666666667
2021-10-28,2403,899,1504,-68.40666666666667
2021-10-29,1640,1685,-45,-57.24666666666667
2021-11-01,2626,738,1888,-49.88666666666666
2021-11-02,1626,1713,-87,-56.68666666666667
2021-11-03,2316,1039,1277,-57.96666666666667
2021-11-04,1437,1906,-469,-64.33333333333333
2021-11-05,1818,1542,276,-60.9
2021-11-08,1795,1528,267,-49.81333333333333
